ID,Type,Section,Requirement,Tested,Notes
M079,MUST,4.1.1 Ping Request/Response,"Receiver MUST respond promptly with empty response",,
M080,MUST,4.2.1 Cancellation Notification,"Notification MUST include requestId of request to cancel",,
M081,MUST,4.2.1 Cancellation Notification,"Cancellation notifications MUST only reference previously issued requests",,
M082,MUST,4.2.1 Cancellation Notification,"Initialize request MUST NOT be cancelled by clients",,
M083,MUST,4.3.1 Progress Request,"Progress tokens MUST be unique across active requests",,
M084,MUST,4.3.2 Progress Notification,"Progress notifications MUST include progressToken and progress value",,
M085,MUST,4.3.2 Progress Notification,"Progress value MUST increase with each notification",,
M086,MUST,4.3.2 Progress Notification,"Progress notifications MUST only reference active requests",,
M087,MUST,4.4.1 Logging Capabilities,"Servers supporting logging MUST declare logging capability",,
M088,MUST,4.5.1 Completion Capabilities,"Servers supporting completions MUST declare completions capability",,
M089,MUST,4.5.2 Complete Request,"Server response MUST include completion values",,
S001,SHOULD,1.2.1 STDIO Transport,"For the stdio transport, the client SHOULD initiate shutdown by closing the input stream",,
S002,SHOULD,1.2.2 Streamable HTTP Transport,"SSE stream SHOULD eventually include one JSON-RPC response per request",,
S003,SHOULD,1.2.2 Streamable HTTP Transport,"Server SHOULD NOT close SSE stream before sending all responses",,
S004,SHOULD,1.2.2 Streamable HTTP Transport,"Server messages SHOULD be unrelated to concurrent client requests",,
S005,SHOULD,1.2.3 Session Management,"Session ID SHOULD be globally unique and cryptographically secure",,
S006,SHOULD,1.2.3 Session Management,"Servers SHOULD respond with HTTP 400 to requests without session ID if required",,
S007,SHOULD,1.2.3 Session Management,"Clients SHOULD explicitly terminate sessions they no longer need",,
S008,SHOULD,1.3.1 Authorization,"HTTP-based transports SHOULD follow the OAuth 2.1 authorization flow",,
S009,SHOULD,1.3.1 Authorization,"STDIO transport SHOULD NOT use this authorization mechanism",,
S010,SHOULD,1.3.2 OAuth Implementation,"MCP auth implementations SHOULD support OAuth 2.0 Dynamic Client Registration",,
S011,SHOULD,1.3.2 OAuth Implementation,"Servers SHOULD follow the OAuth 2.0 Authorization Server Metadata protocol",,
S012,SHOULD,1.3.3 Authorization Server Discovery,"Clients SHOULD include MCP-Protocol-Version header during discovery",,
S013,SHOULD,1.4.1 Initialization,"Client SHOULD NOT send requests other than pings before server responds to initialize",,
S014,SHOULD,1.4.1 Initialization,"Server SHOULD NOT send requests other than pings and logging before initialized notification",,
S015,SHOULD,1.4.2 Version Negotiation,"Client version SHOULD be the latest version supported by the client",,
S016,SHOULD,1.4.2 Version Negotiation,"Server version SHOULD be the latest version supported by the server",,
S017,SHOULD,1.4.2 Version Negotiation,"If client doesn't support server's version, it SHOULD disconnect",,
S018,SHOULD,1.4.3 Capability Negotiation,"Both parties SHOULD respect negotiated capabilities",,
S019,SHOULD,1.4.4 Timeouts,"Implementations SHOULD establish timeouts for all sent requests",,
S020,SHOULD,1.4.4 Timeouts,"Senders SHOULD issue cancellation notification when timeout occurs",,
S021,SHOULD,1.4.4 Error Handling,"Implementations SHOULD be prepared to handle protocol errors",,
S022,SHOULD,2.1.3 Resource Content,"Each content item SHOULD include mimeType",,
S023,SHOULD,2.1.6 List Changed Notification,"Server SHOULD send notifications/resources/list_changed when resource list changes",,
S024,SHOULD,2.2.4 List Changed Notification,"Server SHOULD send notifications/prompts/list_changed when prompt list changes",,
S025,SHOULD,2.3.4 List Changed Notification,"Server SHOULD send notifications/tools/list_changed when tool list changes",,
S026,SHOULD,4.1.1 Ping,"Implementations SHOULD periodically issue pings to detect connection health",,
S027,SHOULD,4.2.1 Cancellation,"Receivers SHOULD stop processing cancelled request",,
S028,SHOULD,4.2.1 Cancellation,"Sender SHOULD ignore responses to cancelled requests",,
S029,SHOULD,4.5.2 Complete Request,"Servers SHOULD return suggestions sorted by relevance",,
S030,SHOULD,4.6.1 Pagination,"Invalid cursors SHOULD result in an error with code -32602",,
A001,MAY,1.1.1 Request Format,"Requests MAY include parameters object",,
A002,MAY,1.1.3 Notification Format,"Notifications MAY include parameters object",,
A003,MAY,1.1.4 Batching,"Implementations MAY support sending JSON-RPC batches",,
A004,MAY,1.2.1 STDIO Transport,"Server MAY write UTF-8 strings to stderr for logging",,
A005,MAY,1.2.2 Streamable HTTP Transport,"Server MAY send JSON-RPC requests and notifications before responses",,
A006,MAY,1.2.2 Streamable HTTP Transport,"Client MAY issue HTTP GET with Accept header listing text/event-stream",,
A007,MAY,1.2.2 Streamable HTTP Transport,"Server MAY send requests and notifications on SSE stream",,
A008,MAY,1.2.2 Streamable HTTP Transport,"Server MAY close the SSE stream at any time",,
A009,MAY,1.2.2 Streamable HTTP Transport,"Client MAY close the SSE stream at any time",,
A010,MAY,1.2.2 Streamable HTTP Transport,"Client MAY remain connected to multiple SSE streams",,
A011,MAY,1.2.2 Resumability,"Servers MAY attach an id field to SSE events",,
A012,MAY,1.2.2 Resumability,"Server MAY use Last-Event-ID header to replay messages",,
A013,MAY,1.2.3 Session Management,"Server MAY assign a session ID at initialization",,
A014,MAY,1.2.3 Session Management,"Server MAY terminate sessions at any time",,
A015,MAY,1.2.3 Session Management,"Server MAY respond with HTTP 405 Method Not Allowed to DELETE requests",,
A016,MAY,1.3.3 Authorization Server Discovery,"Server MAY support OAuth 2.0 dynamic client registration",,
A017,MAY,2.1.2 Resources List,"Each resource MAY include description, mimeType, size",,
A018,MAY,2.1.4 Resource Templates,"Each template MAY include name, description, mimeType",,
A019,MAY,2.2.2 Prompts List,"Each prompt MAY include description, arguments",,
A020,MAY,2.3.2 Tools List,"Each tool MAY include annotations",,
A021,MAY,3.1.2 Roots List,"Each root MAY include name",,
A022,MAY,4.1.1 Ping,"If no response received, sender MAY terminate connection",,
A023,MAY,4.2.1 Cancellation,"Notification MAY include reason string",,
A024,MAY,4.2.1 Cancellation,"Receivers MAY ignore cancellation for unknown or completed requests",,
A025,MAY,4.3.2 Progress Notification,"Progress notifications MAY include total and message",,
A026,MAY,4.5.2 Complete Request,"Server response MAY include total number of matches",,
